"County","County_FIPS","County Seat","State","State_FIPS","STATEFP","COUNTYFP"
"Autauga County","1","Prattville","Alabama","1","01","001"
"Baldwin County","3","Bay Minette","Alabama","1","01","003"
"Barbour County","5","Clayton","Alabama","1","01","005"
"Bibb County","7","Centreville","Alabama","1","01","007"
"Blount County","9","Oneonta","Alabama","1","01","009"
"Bullock County","11","Union Springs","Alabama","1","01","011"
"Butler County","13","Greenville","Alabama","1","01","013"
"Calhoun County","15","Anniston","Alabama","1","01","015"
"Chambers County","17","LaFayette","Alabama","1","01","017"
"Cherokee County","19","Centre","Alabama","1","01","019"
"Chilton County","21","Clanton","Alabama","1","01","021"
"Choctaw County","23","Butler","Alabama","1","01","023"
"Clarke County","25","Grove Hill","Alabama","1","01","025"
"Clay County","27","Ashland","Alabama","1","01","027"
"Cleburne County","29","Heflin","Alabama","1","01","029"
"Coffee County","31","Elba and Enterprise[15]","Alabama","1","01","031"
"Colbert County","33","Tuscumbia","Alabama","1","01","033"
"Conecuh County","35","Evergreen","Alabama","1","01","035"
"Coosa County","37","Rockford","Alabama","1","01","037"
"Covington County","39","Andalusia","Alabama","1","01","039"
"Crenshaw County","41","Luverne","Alabama","1","01","041"
"Cullman County","43","Cullman","Alabama","1","01","043"
"Dale County","45","Ozark","Alabama","1","01","045"
"Dallas County","47","Selma","Alabama","1","01","047"
"DeKalb County","49","Fort Payne","Alabama","1","01","049"
"Elmore County","51","Wetumpka","Alabama","1","01","051"
"Escambia County","53","Brewton","Alabama","1","01","053"
"Etowah County","55","Gadsden","Alabama","1","01","055"
"Fayette County","57","Fayette","Alabama","1","01","057"
"Franklin County","59","Russellville","Alabama","1","01","059"
"Geneva County","61","Geneva","Alabama","1","01","061"
"Greene County","63","Eutaw","Alabama","1","01","063"
"Hale County","65","Greensboro","Alabama","1","01","065"
"Henry County","67","Abbeville","Alabama","1","01","067"
"Houston County","69","Dothan","Alabama","1","01","069"
"Jackson County","71","Scottsboro","Alabama","1","01","071"
"Jefferson County","73","Birmingham","Alabama","1","01","073"
"Lamar County","75","Vernon","Alabama","1","01","075"
"Lauderdale County","77","Florence","Alabama","1","01","077"
"Lawrence County","79","Moulton","Alabama","1","01","079"
"Lee County","81","Opelika","Alabama","1","01","081"
"Limestone County","83","Athens","Alabama","1","01","083"
"Lowndes County","85","Hayneville","Alabama","1","01","085"
"Macon County","87","Tuskegee","Alabama","1","01","087"
"Madison County","89","Huntsville","Alabama","1","01","089"
"Marengo County","91","Linden","Alabama","1","01","091"
"Marion County","93","Hamilton","Alabama","1","01","093"
"Marshall County","95","Guntersville","Alabama","1","01","095"
"Mobile County","97","Mobile","Alabama","1","01","097"
"Monroe County","99","Monroeville","Alabama","1","01","099"
"Montgomery County","101","Montgomery","Alabama","1","01","101"
"Morgan County","103","Decatur","Alabama","1","01","103"
"Perry County","105","Marion","Alabama","1","01","105"
"Pickens County","107","Carrollton","Alabama","1","01","107"
"Pike County","109","Troy","Alabama","1","01","109"
"Randolph County","111","Wedowee","Alabama","1","01","111"
"Russell County","113","Phenix City","Alabama","1","01","113"
"St. Clair County","115","Ashville and Pell City","Alabama","1","01","115"
"Shelby County","117","Columbiana","Alabama","1","01","117"
"Sumter County","119","Livingston","Alabama","1","01","119"
"Talladega County","121","Talladega","Alabama","1","01","121"
"Tallapoosa County","123","Dadeville","Alabama","1","01","123"
"Tuscaloosa County","125","Tuscaloosa","Alabama","1","01","125"
"Walker County","127","Jasper","Alabama","1","01","127"
"Washington County","129","Chatom","Alabama","1","01","129"
"Wilcox County","131","Camden","Alabama","1","01","131"
"Winston County","133","Double Springs","Alabama","1","01","133"
"Aleutians East Borough","013","Sand Point","Alaska","2","02","013"
"Municipality of Anchorage","020","(Consolidated
city-borough)","Alaska","2","02","020"
"Bristol Bay Borough","060","Naknek","Alaska","2","02","060"
"Denali Borough","068","Healy","Alaska","2","02","068"
"Fairbanks North Star Borough","090","Fairbanks","Alaska","2","02","090"
"Haines Borough","100","(Consolidated
city-borough)","Alaska","2","02","100"
"City and Borough of Juneau","110","(Consolidated
city-borough)","Alaska","2","02","110"
"Kenai Peninsula Borough","122","Soldotna","Alaska","2","02","122"
"Ketchikan Gateway Borough","130","Ketchikan","Alaska","2","02","130"
"Kodiak Island Borough","150","Kodiak","Alaska","2","02","150"
"Lake and Peninsula Borough","164","King Salmon","Alaska","2","02","164"
"Matanuska-Susitna Borough","170","Palmer","Alaska","2","02","170"
"North Slope Borough","185","Barrow","Alaska","2","02","185"
"Northwest Arctic Borough","188","Kotzebue","Alaska","2","02","188"
"Petersburg Borough","195","Petersburg","Alaska","2","02","195"
"City and Borough of Sitka","220","(Consolidated
city-borough)","Alaska","2","02","220"
"Municipality of Skagway","230","(Consolidated
city-borough)","Alaska","2","02","230"
"Unorganized Borough","-","-","Alaska","2","02","00-"
"City and Borough of Wrangell","275","(Consolidated
city-borough)","Alaska","2","02","275"
"City and Borough of Yakutat","282","(Consolidated
city-borough)","Alaska","2","02","282"
